iter	Passed	Remaining
0	8	823
1	15	763
2	22	727
3	29	703
4	35	683
5	42	666
6	49	658
7	56	645
8	64	648
9	71	644
10	79	639
11	86	632
12	93	626
13	100	619
14	107	607
15	114	599
16	120	590
17	127	581
18	134	575
19	141	567
20	148	559
21	155	550
22	162	543
23	169	536
24	176	528
25	183	522
26	189	513
27	196	506
28	203	497
29	209	489
30	216	481
31	222	473
32	229	466
33	236	458
34	243	451
35	249	444
36	256	436
37	263	429
38	269	422
39	277	415
40	283	408
41	290	401
42	297	394
43	304	387
44	311	381
45	319	374
46	327	369
47	335	362
48	342	356
49	348	348
50	355	341
51	362	334
52	368	326
53	375	319
54	381	312
55	387	304
56	393	297
57	399	289
58	405	281
59	411	274
60	417	267
61	424	260
62	430	252
63	436	245
64	442	238
65	448	231
66	455	224
67	462	217
68	469	210
69	476	204
70	483	197
71	489	190
72	496	183
73	502	176
74	508	169
75	514	162
76	520	155
77	526	148
78	532	141
79	538	134
80	544	127
81	550	120
82	556	114
83	562	107
84	568	100
85	574	93
86	580	86
87	586	79
88	592	73
89	598	66
90	605	59
91	612	53
92	618	46
93	624	39
94	629	33
95	635	26
96	641	19
97	647	13
98	653	6
99	660	0
